epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,869.849,0.93227,0.42992,0.89431,0.99501,0.99733,0.99492,0.75696,0.94106,0.38694,0.92212,0.000558894,0.000558894,0.000558894
102,877.957,0.94137,0.42145,0.91012,0.99776,0.99655,0.99497,0.76742,0.92095,0.37721,0.91236,0.000558603,0.000558603,0.000558603
103,887.262,0.9632,0.42335,0.92268,0.99527,0.99869,0.99495,0.77355,0.90458,0.37596,0.90973,0.000558312,0.000558312,0.000558312
104,897.165,0.88598,0.39585,0.87542,0.99679,0.99812,0.99482,0.77352,0.90864,0.38352,0.90927,0.000558021,0.000558021,0.000558021
105,905.922,0.90939,0.41499,0.915,0.99712,0.99953,0.995,0.78002,0.91012,0.37545,0.91024,0.00055773,0.00055773,0.00055773
106,915.986,0.93909,0.41001,0.93157,0.99491,0.99923,0.99455,0.75981,0.9586,0.38943,0.92486,0.000557439,0.000557439,0.000557439
107,923.927,0.95723,0.43337,0.90564,0.99708,0.99953,0.99494,0.77131,0.9282,0.38605,0.91735,0.000557148,0.000557148,0.000557148
108,934.699,0.96058,0.43146,0.94114,0.99718,0.9992,0.995,0.75358,0.95571,0.40027,0.92091,0.000556857,0.000556857,0.000556857
109,943.855,0.9263,0.42705,0.92185,0.99579,0.99917,0.995,0.75435,0.93421,0.39691,0.91376,0.000556566,0.000556566,0.000556566
110,951.674,0.93056,0.42921,0.90472,0.99099,0.99492,0.9949,0.76376,0.92835,0.39685,0.91448,0.000556274,0.000556274,0.000556274
111,960.827,0.89912,0.43272,0.9106,0.99626,0.9994,0.995,0.77098,0.89918,0.38197,0.90567,0.000555983,0.000555983,0.000555983
112,969.346,0.91827,0.42397,0.90307,0.99372,1,0.995,0.76955,0.90089,0.3824,0.90438,0.000555692,0.000555692,0.000555692
113,976.976,0.92456,0.42755,0.90236,0.99457,1,0.9947,0.76618,0.90905,0.38336,0.90873,0.000555401,0.000555401,0.000555401
114,985.479,0.91945,0.4158,0.90952,0.99522,1,0.995,0.76845,0.9169,0.38022,0.91204,0.00055511,0.00055511,0.00055511
115,995.301,0.91553,0.40905,0.90962,0.99742,0.99989,0.99485,0.77409,0.89743,0.37802,0.90545,0.000554819,0.000554819,0.000554819
116,1004.31,0.92126,0.41689,0.90294,0.99537,0.99966,0.99491,0.78611,0.87437,0.37476,0.89884,0.000554528,0.000554528,0.000554528
117,1013.28,0.93183,0.41034,0.90269,0.99776,0.9984,0.995,0.78332,0.89072,0.37373,0.90157,0.000554237,0.000554237,0.000554237
118,1020.44,0.90597,0.41962,0.88678,0.99125,0.99687,0.99447,0.77524,0.89475,0.37892,0.9052,0.000553946,0.000553946,0.000553946
119,1028.75,0.90998,0.41286,0.90978,0.99617,1,0.99484,0.77766,0.88934,0.37222,0.90113,0.000553655,0.000553655,0.000553655
120,1037.65,0.90104,0.40533,0.90556,0.99389,0.9974,0.99427,0.77942,0.88394,0.36258,0.90272,0.000553364,0.000553364,0.000553364
121,1044.75,0.88655,0.39834,0.9014,0.99462,0.99897,0.99464,0.77939,0.88737,0.36577,0.90291,0.000553073,0.000553073,0.000553073
122,1052.3,0.9032,0.40411,0.89485,0.99569,0.99963,0.99463,0.77788,0.87924,0.3729,0.90101,0.000552782,0.000552782,0.000552782
123,1059.35,0.91395,0.41389,0.90098,0.99348,0.99814,0.99464,0.77708,0.89334,0.3736,0.90443,0.000552491,0.000552491,0.000552491
124,1067.32,0.92441,0.41335,0.90352,0.99696,0.99887,0.99468,0.76837,0.91158,0.38019,0.90956,0.0005522,0.0005522,0.0005522
125,1074.57,0.93207,0.4197,0.8892,0.99555,1,0.995,0.77923,0.89304,0.37558,0.90472,0.000551909,0.000551909,0.000551909
126,1084.03,0.923,0.41461,0.91322,0.99647,1,0.99475,0.77939,0.88277,0.36703,0.90308,0.000551617,0.000551617,0.000551617
127,1093.1,0.90071,0.3976,0.93375,0.99421,0.99839,0.99452,0.7866,0.86161,0.36316,0.90072,0.000551326,0.000551326,0.000551326
128,1104.62,0.88565,0.39463,0.91779,0.99576,0.99868,0.99413,0.78234,0.88187,0.36235,0.90099,0.000551035,0.000551035,0.000551035
129,1112.72,0.90018,0.40781,0.88666,0.99491,0.99843,0.99387,0.78065,0.88687,0.37593,0.90613,0.000550744,0.000550744,0.000550744
130,1120.48,0.91989,0.41035,0.89761,0.99697,0.99835,0.99464,0.78753,0.86829,0.36358,0.89768,0.000550453,0.000550453,0.000550453
131,1129.82,0.88249,0.39665,0.92659,0.98689,0.99765,0.9934,0.78019,0.88469,0.37029,0.9034,0.000550162,0.000550162,0.000550162
132,1139.74,0.89769,0.41464,0.91554,0.99536,0.99926,0.99496,0.77827,0.89395,0.36202,0.90757,0.000549871,0.000549871,0.000549871
133,1148.83,0.91243,0.40255,0.92069,0.99656,0.99954,0.995,0.78592,0.88526,0.36149,0.90396,0.00054958,0.00054958,0.00054958
134,1157.57,0.88894,0.40515,0.90978,0.99726,0.9995,0.995,0.7895,0.87373,0.3596,0.9015,0.000549289,0.000549289,0.000549289
135,1166.41,0.90045,0.41705,0.88249,0.99501,1,0.995,0.78853,0.87094,0.36192,0.90037,0.000548998,0.000548998,0.000548998
136,1176.12,0.88348,0.39383,0.89315,0.99581,0.99932,0.99498,0.78945,0.86372,0.35394,0.89915,0.000548707,0.000548707,0.000548707
137,1183.27,0.87262,0.39315,0.88963,0.99672,1,0.995,0.79561,0.85634,0.35331,0.89565,0.000548416,0.000548416,0.000548416
138,1191.62,0.87217,0.3929,0.88848,0.99666,0.99955,0.995,0.79683,0.85185,0.35357,0.89546,0.000548125,0.000548125,0.000548125
139,1200.81,0.87293,0.40362,0.90848,0.99695,0.99916,0.995,0.80092,0.84561,0.34984,0.89251,0.000547834,0.000547834,0.000547834
140,1210.44,0.88741,0.40578,0.91086,0.99749,0.99958,0.995,0.80063,0.85429,0.35605,0.89319,0.000547543,0.000547543,0.000547543
141,1219.21,0.89778,0.40219,0.90436,0.99572,0.99956,0.99462,0.79832,0.85242,0.35634,0.89406,0.000547252,0.000547252,0.000547252
142,1228.53,0.86813,0.39949,0.89353,0.99615,1,0.995,0.79732,0.85151,0.35444,0.89542,0.000546961,0.000546961,0.000546961
143,1237.74,0.87935,0.38595,0.91435,0.99743,0.99884,0.995,0.79856,0.83711,0.34489,0.89023,0.000546669,0.000546669,0.000546669
144,1247.03,0.87111,0.39027,0.89954,0.99734,1,0.99497,0.79433,0.85066,0.35348,0.89351,0.000546378,0.000546378,0.000546378
145,1257.01,0.86445,0.38599,0.89453,0.9974,1,0.995,0.78916,0.87332,0.35467,0.89929,0.000546087,0.000546087,0.000546087
146,1264.76,0.89328,0.39361,0.90016,0.99242,0.99923,0.99386,0.78371,0.88321,0.36071,0.90177,0.000545796,0.000545796,0.000545796
147,1272.97,0.88055,0.39627,0.89304,0.9962,1,0.99498,0.79978,0.84186,0.35722,0.88809,0.000545505,0.000545505,0.000545505
148,1282.16,0.89471,0.40517,0.89896,0.99492,0.99918,0.995,0.79586,0.84714,0.3605,0.89246,0.000545214,0.000545214,0.000545214
149,1289.5,0.88218,0.3995,0.89029,0.99747,0.99924,0.995,0.7899,0.84566,0.35166,0.8925,0.000544923,0.000544923,0.000544923
150,1297.5,0.92095,0.40521,0.89156,0.99402,0.99986,0.995,0.80188,0.83467,0.35788,0.88839,0.000544632,0.000544632,0.000544632
151,1305.83,0.87759,0.4023,0.89132,0.99453,0.99923,0.99481,0.80352,0.82795,0.35987,0.88506,0.000544341,0.000544341,0.000544341
152,1315.98,0.90497,0.40527,0.90699,0.99498,0.99903,0.99477,0.80112,0.83561,0.35049,0.88775,0.00054405,0.00054405,0.00054405
153,1324.48,0.86942,0.3925,0.89188,0.99629,0.99842,0.995,0.80118,0.83641,0.34835,0.8859,0.000543759,0.000543759,0.000543759
154,1334.39,0.87152,0.38836,0.90337,0.99483,0.99886,0.995,0.7979,0.84681,0.35699,0.88909,0.000543468,0.000543468,0.000543468
155,1342.68,0.85272,0.39535,0.85771,0.99632,0.99871,0.995,0.78912,0.86769,0.36082,0.89361,0.000543177,0.000543177,0.000543177
156,1352.23,0.86453,0.38807,0.91509,0.99421,0.99395,0.99454,0.78485,0.86907,0.3643,0.89273,0.000542886,0.000542886,0.000542886
157,1362.38,0.82542,0.3729,0.86052,0.99698,0.99957,0.995,0.80058,0.83297,0.34982,0.88686,0.000542595,0.000542595,0.000542595
158,1372.22,0.85622,0.38281,0.91533,0.99554,1,0.995,0.79738,0.82673,0.3548,0.88499,0.000542304,0.000542304,0.000542304
159,1380.19,0.86315,0.39028,0.88834,0.99433,0.99774,0.99476,0.79568,0.86127,0.35433,0.89625,0.000542013,0.000542013,0.000542013
160,1390.16,0.87426,0.38851,0.90137,0.99765,1,0.995,0.8005,0.82595,0.34394,0.88673,0.000541721,0.000541721,0.000541721
161,1398.91,0.90177,0.40334,0.89904,0.99741,1,0.995,0.79874,0.83879,0.34514,0.89015,0.00054143,0.00054143,0.00054143
162,1406.63,0.87729,0.39735,0.91196,0.99747,0.99933,0.995,0.79742,0.84029,0.34376,0.8893,0.000541139,0.000541139,0.000541139
163,1414.99,0.8394,0.38845,0.89053,0.99756,1,0.995,0.80694,0.81979,0.34338,0.8838,0.000540848,0.000540848,0.000540848
164,1424.39,0.86014,0.38504,0.91636,0.99555,0.99889,0.995,0.80591,0.81469,0.3493,0.88006,0.000540557,0.000540557,0.000540557
165,1432.65,0.85605,0.38267,0.89205,0.99711,0.99999,0.99471,0.80947,0.81777,0.35129,0.88148,0.000540266,0.000540266,0.000540266
166,1442.18,0.85582,0.39537,0.8907,0.99775,1,0.995,0.80005,0.82349,0.34838,0.88361,0.000539975,0.000539975,0.000539975
167,1451.11,0.86494,0.39132,0.9061,0.99731,1,0.995,0.80135,0.83016,0.35263,0.88492,0.000539684,0.000539684,0.000539684
168,1459.22,0.86869,0.3915,0.88392,0.9959,1,0.995,0.80419,0.82138,0.34403,0.88148,0.000539393,0.000539393,0.000539393
169,1468.17,0.86029,0.3829,0.89592,0.99738,1,0.995,0.81576,0.80291,0.34372,0.87732,0.000539102,0.000539102,0.000539102
170,1477.87,0.87076,0.39926,0.88146,0.99683,1,0.995,0.80656,0.83554,0.34562,0.8876,0.000538811,0.000538811,0.000538811
171,1486.16,0.86478,0.38394,0.87788,0.9976,1,0.995,0.80584,0.83548,0.34196,0.88517,0.00053852,0.00053852,0.00053852
172,1493.31,0.81326,0.37152,0.82607,0.99769,1,0.995,0.81567,0.7924,0.33451,0.87721,0.000538229,0.000538229,0.000538229
173,1501.19,0.85785,0.38759,0.87975,0.99779,1,0.995,0.80794,0.8042,0.34138,0.87875,0.000537938,0.000537938,0.000537938
174,1511.19,0.83734,0.37332,0.91477,0.99516,1,0.995,0.81404,0.79811,0.33614,0.8776,0.000537647,0.000537647,0.000537647
175,1519.21,0.83452,0.37777,0.87596,0.99775,0.99948,0.995,0.81451,0.79691,0.33867,0.87648,0.000537356,0.000537356,0.000537356
176,1528.04,0.84084,0.37914,0.88846,0.99784,1,0.99499,0.81115,0.80965,0.33912,0.88057,0.000537064,0.000537064,0.000537064
177,1536.78,0.84799,0.38255,0.87923,0.99744,1,0.995,0.81384,0.81022,0.33894,0.87958,0.000536773,0.000536773,0.000536773
178,1546.04,0.83868,0.37168,0.90529,0.9974,1,0.99486,0.81358,0.81694,0.33786,0.88355,0.000536482,0.000536482,0.000536482
179,1555.7,0.84994,0.38905,0.90599,0.99611,0.99921,0.99477,0.82127,0.78837,0.33425,0.87822,0.000536191,0.000536191,0.000536191
180,1564.01,0.87384,0.3829,0.88284,0.99626,0.9987,0.995,0.81721,0.79696,0.34057,0.87918,0.0005359,0.0005359,0.0005359
181,1572.56,0.88296,0.38764,0.89352,0.99744,1,0.995,0.8044,0.80421,0.33852,0.87887,0.000535609,0.000535609,0.000535609
182,1581.55,0.84972,0.38489,0.88428,0.99687,0.99962,0.995,0.8105,0.80482,0.34056,0.87979,0.000535318,0.000535318,0.000535318
